Model 	GenomeIDSpeciesA 	GenomeIDSpeciesB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo 	PercentChangeRawA 	PercentChangeRawB 	TypeOfInteraction
267747.3X857291.3 	267747.3 	857291.3 	149.244142998 	76.5210766498 	154.353403393 	63.7648148707 	-0.0331010543512 	0.200051733938 	Commensalism
267747.3X857576.3 	267747.3 	857576.3 	140.875859838 	84.3400534041 	154.353403393 	61.8399334363 	-0.0873161411329 	0.363844504959 	Commensalism
267747.3X862512.3 	267747.3 	862512.3 	176.824618926 	23.1775265939 	154.353403393 	26.1459817409 	0.145582896386 	-0.113533895052 	Parasitism
267747.3X866778.4 	267747.3 	866778.4 	145.127382918 	68.1718798554 	154.353403393 	62.2460612132 	-0.0597720573191 	0.0951998974185 	Neutralism
267747.3X871541.3 	267747.3 	871541.3 	143.528698696 	94.7108114868 	154.353403393 	95.5096417611 	-0.0701293554859 	-0.00836387049067 	Neutralism
267747.3X875454.4 	267747.3 	875454.4 	150.694874889 	8.5398886214 	154.353403393 	1.23690291401 	-0.0237022859463 	5.90425135609 	Commensalism
267747.3X888055.3 	267747.3 	888055.3 	153.260189169 	88.9420930693 	154.353403393 	91.0990569708 	-0.00708254045566 	-0.0236771265612 	Neutralism
267747.3X888056.4 	267747.3 	888056.4 	159.864406457 	112.767449475 	154.353403393 	115.248285445 	0.0357038001292 	-0.0215260119526 	Neutralism
267747.3X925409.4 	267747.3 	925409.4 	147.505627205 	99.1045377537 	154.353403393 	90.0870500303 	-0.0443642708063 	0.100097491486 	Commensalism
267747.3X927666.3 	267747.3 	927666.3 	159.349268087 	3.94493373534 	154.353403393 	3.60059435395 	0.0323664045248 	0.0956340391447 	Neutralism
267747.3X997830.4 	267747.3 	997830.4 	159.171684138 	3.71407411462 	154.353403393 	2.41581420921 	0.0312159022029 	0.537400558561 	Commensalism
267747.3X997894.4 	267747.3 	997894.4 	160.39161652 	41.0886562115 	154.353403393 	43.0367913625 	0.0391194038762 	-0.0452667378149 	Neutralism
267747.3X999421.3 	267747.3 	999421.3 	147.763292254 	78.1334761216 	154.353403393 	75.5233951232 	-0.0426949519359 	0.0345599002023 	Neutralism
28037.92X1235797.3 	28037.92 	1235797.3 	11.132234562 	18.5168738433 	3.5951408443 	22.0694443632 	2.09646688242 	-0.160972358952 	Parasitism
28037.92X575593.3 	28037.92 	575593.3 	17.4673034405 	12.1833259005 	3.5951408443 	16.4575444641 	3.85858668602 	-0.259711804086 	Parasitism
28037.97X1203556.3 	28037.97 	1203556.3 	18.2961203712 	2.16668405369 	2.41581421667 	19.8774037601 	6.57347988308 	-0.890997633301 	Parasitism
28037.97X1227268.3 	28037.97 	1227268.3 	14.4088579283 	85.7702956222 	2.41581421667 	86.5823178198 	4.96438990584 	-0.0093786146877 	Commensalism
28037.97X537013.3 	28037.97 	537013.3 	0.0 	2.55398830819 	2.41581421667 	1.27699415409 	-1.0 	1.00000000001 	Parasitism
28037.97X592010.4 	28037.97 	592010.4 	0.0 	25.9525512315 	2.41581421667 	20.0428739029 	-1.0 	0.294851794071 	Parasitism
28037.97X762963.3 	28037.97 	762963.3 	18.2961203712 	13.8234710962 	2.41581421667 	31.4884377538 	6.57347988308 	-0.560998509857 	Parasitism
28037.97X944560.4 	28037.97 	944560.4 	14.4150779767 	87.8941643076 	2.41581421667 	85.6749235987 	4.96696462718 	0.0259030369177 	Commensalism
28037.97X997353.4 	28037.97 	997353.4 	1.79168571544 	70.629160395 	2.41581421667 	70.6356690236 	-0.258351199742 	-9.21436533407e-05 	Amensalism
28037.98X1203564.3 	28037.98 	1203564.3 	9.85564294485 	17.9926121237 	2.41581421991 	20.4305148357 	3.07963611756 	-0.119326543242 	Parasitism
313596.4X340101.3 	313596.4 	340101.3 	68.327593317 	37.9172485189 	67.2073111238 	47.191686496 	0.0166690524359 	-0.196526945014 	Amensalism
334413.6X365659.3 	334413.6 	365659.3 	9.77903227274 	3.08424892419e-27 	3.72294543394 	3.5915994704 	1.62669234515 	-1.0 	Parasitism
334413.6X762966.3 	334413.6 	762966.3 	12.3640886538 	43.178314448 	3.72294543394 	30.6111346383 	2.32105019351 	0.410542763546 	Mutualism
397291.3X717959.3 	397291.3 	717959.3 	12.8067936913 	74.9640409825 	10.411622184 	58.3503866084 	0.23004787006 	0.284722267319 	Mutualism
411471.5X1118055.3 	411471.5 	1118055.3 	13.1183444167 	9.00411299673 	3.61187095849 	19.6083269215 	2.63200805551 	-0.540801566968 	Parasitism
411471.5X1203556.3 	411471.5 	1203556.3 	14.9776030189 	6.50071307472 	3.61187095849 	19.8774037601 	3.14677135231 	-0.672959650406 	Parasitism
411471.5X562973.4 	411471.5 	562973.4 	12.4074995808 	109.037210463 	3.61187095849 	107.85272389 	2.43520012852 	0.0109824446734 	Commensalism
411483.3X1203556.3 	411483.3 	1203556.3 	12.1790082303 	24.3424789959 	17.5198883854 	19.8774037601 	-0.304846699797 	0.224630705785 	Parasitism
411483.3X1203564.3 	411483.3 	1203564.3 	23.139277989 	12.3332779403 	17.5198883854 	20.4305148357 	0.32074345909 	-0.396330535991 	Parasitism
411483.3X196627.13 	411483.3 	196627.13 	10.1024068462 	119.331704292 	17.5198883854 	115.244156971 	-0.423374931166 	0.0354685862471 	Amensalism
411483.3X313596.4 	411483.3 	313596.4 	4.10306925494 	121.608168545 	17.5198883854 	67.2073111238 	-0.765805057391 	0.809448503616 	Parasitism
411483.3X340101.3 	411483.3 	340101.3 	13.8768136407 	47.0331278288 	17.5198883854 	47.191686496 	-0.207939380923 	-0.00335988558522 	Amensalism
411483.3X585544.3 	411483.3 	585544.3 	11.7927189167 	145.269816769 	17.5198883854 	122.649823165 	-0.326895317066 	0.184427445717 	Parasitism
411485.10X1095735.3 	411485.10 	1095735.3 	8.07880471372 	16.2415543025 	19.270666145 	2.41488782995 	-0.580771902075 	5.72559366985 	Parasitism
