ModelName 	ObjFuntionSpeciesA 	ObjFunctionSpeceisB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo
A_1235815_4XA_596320_3 	A_1235815_4 	A_596320_3 	42.947208571 	99.2274784957 	46.3929172715 	97.6127807015
A_1235815_4XA_679201_3 	A_1235815_4 	A_679201_3 	46.3920736749 	123.256876393 	46.3929172715 	126.132923418
A_1235815_4XA_997830_4 	A_1235815_4 	A_997830_4 	46.3867311452 	2.00418044893 	46.3929172715 	2.41581420921
A_1235815_4XA_997894_4 	A_1235815_4 	A_997894_4 	50.1393300417 	42.6196161495 	46.3929172715 	43.0367913625
A_1236489_4XA_1203619_3 	A_1236489_4 	A_1203619_3 	51.7670487052 	27.1178999708 	51.7670487052 	26.1269503715
A_1268240_3XA_999421_3 	A_1268240_3 	A_999421_3 	69.2289990865 	54.3969063097 	93.6925318894 	75.5233951232
A_1296619_3XA_176279_9 	A_1296619_3 	A_176279_9 	31.7191618874 	26.8374026109 	46.3246845898 	44.6964484443
A_1321775_3XA_1476577_3 	A_1321775_3 	A_1476577_3 	9.05974305798 	10.9329642919 	19.8754959567 	1.18775713882
A_1321817_3XA_1077975_4 	A_1321817_3 	A_1077975_4 	16.6740626764 	128.116363151 	14.6511250878 	128.148389783
A_1321817_3XA_1105030_3 	A_1321817_3 	A_1105030_3 	13.4436861291 	12.7593215546 	14.6511250878 	19.877492208
A_1321817_3XA_1235797_3 	A_1321817_3 	A_1235797_3 	10.9583400682 	21.4184646332 	14.6511250878 	22.0694443632
A_1321817_3XA_1414720_3 	A_1321817_3 	A_1414720_3 	5.46044222653 	21.2147713856 	14.6511250878 	7.09094914168
A_1321817_3XA_267747_3 	A_1321817_3 	A_267747_3 	13.0846244282 	154.812814963 	14.6511250878 	154.353403393
A_1321817_3XA_537011_5 	A_1321817_3 	A_537011_5 	14.2287415568 	82.5197427506 	14.6511250878 	73.0927528114
A_1321817_3XA_537013_3 	A_1321817_3 	A_537013_3 	6.64479190717 	9.65342642206 	14.6511250878 	1.27699415409
A_1321817_3XA_552395_3_model 	A_1321817_3 	A_552395_3_model 	2.6094721231 	32.9422103132 	14.6511250878 	16.1579856101
A_1321817_3XA_997830_4 	A_1321817_3 	A_997830_4 	14.1828147435 	7.58033451464 	14.6511250878 	2.41581420921
A_1332188_3XA_1077975_4 	A_1332188_3 	A_1077975_4 	36.8896643112 	127.24358587 	36.8896643112 	128.148389783
A_1332188_3XA_1105030_3 	A_1332188_3 	A_1105030_3 	36.8896643112 	19.0228683046 	36.8896643112 	19.877492208
A_1332188_3XA_1235815_4 	A_1332188_3 	A_1235815_4 	33.8494148118 	46.3920736749 	36.8896643112 	46.3929172715
